filename,location,pages,mentions,source,location_type,geocode_lat,geocode_lon,geocode_str,geocode_type,accuracy
Figure 1.1: a) Location of field area within Burkina Faso with surrounding greenstone belts and major shears 
indicated (after Tshibubudze et al., 2009). b) Satellite image of the field area in relation to Gorom Gorom. Indicated 
on the image is the location of Kel Enguef and the main roads in the area. (Google Earth) 
4",llm,GEOLOGICAL_UNIT,14.6610476,0.8014577,"Kel Enguef, Téra, Tillabéri Region, Niger",APPROXIMATE,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,Markoye Shear,"48,8","7.4 Tectonic History 
The  KEMB  is  host  to  metamorphosed  sedimentary  sequences  and  igneous  intrusions. The 
terrain has been subjected to a series of regional tectonic events. The studies of Tshibubudze 
et al. (2009) and Tshibubudze and Hein (submitted) have indicated that the KEMB lies west 
of    the  Markoye  Shear  Zone  which  developed  by  at  least  two  regional  deformation  events. Understanding the tectonic history of the KEMB is beyond the scope of this project however 
based on the metamorphic and structural data collected, a simplified tectonic history can be 
suggested. Saying this, further studies will be crucial in acquiring a greater understanding of 
how the KEMB fits in with the regional geology. || The craton has been subjected to several tectonic events corresponding to the deformation of 
Birimian  Supergroup. This  includes  the  SW  directed  shortening  of  the  Tangaean  Event 
(2170-2130  Ma),  SE-NW  shortening  of  the  Eburnean  Orogeny  (2130-1980  Ma)  and  the 
young Wabo-Tampelse Event. The Tangaean Event and Eburnean Orogeny were associated 
with emplacement of TTG-suite plutons and dykes (Feybesse et al., 2006; Tshibubudze et al., 
2009; Hein 2010). The tectonic events resulted in the formation of greenstone belts separated 
by  the  granitoids  (Hirdes  and  Davis,  2002). The  Eburnean  Orogeny  resulted  in  regional 
metamorphism of the Birimian Supergroup to greenschist facies and contact metamorphism 
from pluton emplacement to low - medium amphibolite facies (Pons et al., 1995; Debat et al., 
2003). 2.2 Local geology 
The  Markoye  Shear  Zone  lies  to  the  east  of  the  KEMB.",llm,PLACE,,,no-geocode-result,no-geocode-result,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,Oudalan-Gorouol Greenstone Belt,"4,4,9","(2003) and the area has been shown to comprise basalt, rhyolite and tuffaceous 
material  with  evidence  of  possible  gold  mineralisation. Apart  from  Castaing  et  al. (2003) 
nothing  further  has  been  described  for  the  area  indicating  the  importance  of  this  study. Studies  in  the  surrounding  area  of  the  Oudalan-Gorouol  Greenstone  Belt  (just  east  of  the 
KEMB) by Nikiema et al. (1993), Pons et al. (1995), Debat et al. || (2003) and the area has been shown to comprise basalt, rhyolite and tuffaceous 
material  with  evidence  of  possible  gold  mineralisation. Apart  from  Castaing  et  al. (2003) 
nothing  further  has  been  described  for  the  area  indicating  the  importance  of  this  study. Studies  in  the  surrounding  area  of  the  Oudalan-Gorouol  Greenstone  Belt  (just  east  of  the 
KEMB) by Nikiema et al. (1993), Pons et al. (1995), Debat et al. || Specifically  the  Oudalan-Gorouol  Greenstone  Belt  has  undergone  greenschist-
facies  metamorphism  (Tshibubudze  et  al.,  2009). Regional  metamorphism  to  greenschist 
facies is associated to north-south crustal shortening during the Eburnean Orogeny (Vidal et 
al., 1996, Beziat et al., 2000, Hein et al., 2004 and Naba et al., 2004). Contact metamorphism 
of  these  rocks  occurred  due  to  the  emplacement  of  granitoids  which  include  granite-
adamellite,  granite  and  granodiorite  compositions  (Pons  et  al.,  1995;  Debat  et  al.,  2003; 
Tshibubudze et al., 2009). Metamorphism of the surrounding units to the granitoids occurred 
to  amphibolite-facies  (Pons  et  al.,  1995;  Tshibubudze  et  al.,  2009;  Tshibubudze  and  Hein, 
submitted)  and  granulite  facies  (Tshibubudze  and  Hein,  submitted).. Through  hornblende 
barometric estimates, shallow crust (3-4 kbar) emplacement of plutons has been established 
(Pons et al., 1992). Gold and manganese mineralisation as well as pegamatite veins are present in the Oudalan-
Gorouol  greenstone  belt  (Milési  et  al.,  1992;  Nikiéma,  1992;  Beauvais  et  al.,  2008 
Tshibubudze, et al., 2009; Tshibubudze and Hein, submitted).","llm,rules",GEOLOGICAL_UNIT,,,no-geocode-result,no-geocode-result,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,Oudalan-Gorouol greenstone belt,42,"The deltaic environment determined 
from the metaclastic succession allows for the interpretation of the underlying banded iron-
formation  and amphibolite. Although definitive evidence of a  conformable contact  between 
the iron-formation and the metaclastics was not observed, the increase in metamorphic grade 
and  facing  direction  suggests  that  these  sequences  occur  lower  in  the  stratigraphy. The 
occurrence of the banded ironstone formation is typical of shallow water environments of the 
Proterozoic (Leeder, 1999). This  would have occurred distal  to  a delta setting on a shelf or 
proximal to the delta during periods of reduced sedimentation. The fine-grained sediment of 
the amphibolite would have been deposited in the prodelta in the form of shales or mudstone. The  described  protoliths  of  quartzwacke,  shale  and  possible  pebble  quartz  arenite  fit  well 
with  the  sedimentary  rocks  of  the  Birimian  Supergroup  and  in  particular  the  Oudalan-
Gorouol  greenstone belt  described by  Pons  et  al., 1995; Debat  et  al., 2003;  Tshibubudze et 
al.,  2009;  Tshibubudze  and  Hein,  submitted. || Therefore  the  sequences  described  may 
represent a portion of the Oudalan-Gorouol greenstone belt and this would also be enforced 
by the KEMB close proximity to the belt, to east of the Markoye shear zone, 
41",llm,GEOLOGICAL_UNIT,,,no-geocode-result,no-geocode-result,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,Road to Dori,5,"STUDY AREA 
a. Road to Markoye 
N 
Kel Enguef 
Kel Enguef metamorphic belt 
1 km 
b. Road to Dori 
Figure 1.1: a) Location of field area within Burkina Faso with surrounding greenstone belts and major shears 
indicated (after Tshibubudze et al., 2009). b) Satellite image of the field area in relation to Gorom Gorom. Indicated 
on the image is the location of Kel Enguef and the main roads in the area. (Google Earth) 
4",llm,PLACE,35.7305256,139.7176167,"Sunshine 60 Street, Higashi Ikebukuro 3, Higashi Ikebukuro, Toshima, Tokyo, 170-8418, Japan",APPROXIMATE,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,Road to Markoye,5,"STUDY AREA 
a. Road to Markoye 
N 
Kel Enguef 
Kel Enguef metamorphic belt 
1 km 
b. Road to Dori 
Figure 1.1: a) Location of field area within Burkina Faso with surrounding greenstone belts and major shears 
indicated (after Tshibubudze et al., 2009). b) Satellite image of the field area in relation to Gorom Gorom. Indicated 
on the image is the location of Kel Enguef and the main roads in the area. (Google Earth) 
4",llm,PLACE,14.7095001,0.0948661,"Markoye, Oudalan, Sahel, Burkina Faso",APPROXIMATE,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,Sahara Desert,6,"The  field  area,  which  is  approximately  30km2,  hosts  two  east-west  trending  ridges  that 
expose a portion of the KEMB  (Fig. 1.1b). The  UTM coordinates of the extent of the field 
area  are:    30  P  (Northern  Hemisphere)  0805000  E,  1600000  N;  0805000  E,  1594000  N; 
0810000 E, 1594000 N; 0810000 E, 1600000 N. This region of Burkina Faso is situated in 
the Sahel, just south of the Sahara Desert. Climatic conditions are arid, that is very hot and 
dry. Field  work  was  carried  out  in  January  which  is  the  coolest  time  of  the  year  although 
daily  temperatures  exceeded  30  ⁰C.","llm,rules",PLACE,22.25,9.8,"Sahara, Tazrouk, Tazrouk District, Tamanrasset, Algeria",APPROXIMATE,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,Sahel,6,"The  field  area,  which  is  approximately  30km2,  hosts  two  east-west  trending  ridges  that 
expose a portion of the KEMB  (Fig. 1.1b). The  UTM coordinates of the extent of the field 
area  are:    30  P  (Northern  Hemisphere)  0805000  E,  1600000  N;  0805000  E,  1594000  N; 
0810000 E, 1594000 N; 0810000 E, 1600000 N. This region of Burkina Faso is situated in 
the Sahel, just south of the Sahara Desert. Climatic conditions are arid, that is very hot and 
dry. Field  work  was  carried  out  in  January  which  is  the  coolest  time  of  the  year  although 
daily  temperatures  exceeded  30  ⁰C.",llm,PLACE,14.0279165,-0.7717776,"Sahel, Burkina Faso",APPROXIMATE,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,"Saint-Malo, France",47,"These zones of infiltration would have 
had  to  be  concentrated  and  localised. The  rapid  increase  of  temperature  in  pre-existing  hot 
conditions could have induced partial melting and dehydration of the rock. Migmatites from 
Saint-Malo, France, with a very similar mineral assemblage of muscovite-plagioclase-quartz 
leucosome and biotite-rich melanosome, are interpreted to have formed by the breakdown of 
muscovite (Sawyer, 2008). Although the Saint-Malo migmatites have been proposed to have 
formed  in  upper  amphibolite  facies,  the  presence  of  muscovite  in  the  metamorphosed  rock 
which formed the migmatite in KEMB would have been a source for more hydrous fluid. 46",llm,PLACE,48.649518,-2.0260409,"Saint-Malo, Ille-et-Vilaine, Brittany, Metropolitan France, 35400, France",APPROXIMATE,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,Tambao,9,"Gold mineralisation, found at 
many locations, is hosted in shear zones as structural hosted lode-gold associated with NW-
SE structures (Nikiéma, 1992; Tshibubudze et al., 2009; Tshibubudze and Hein, submitted). Manganese  mineralisation  is  situated  NE  and  SW  of  the  KEMB  at  Tambăo  and  Billiata 
(Tshibubudze and Hein, submitted) and pegamatite veins are situated NE at Tambăo. 8",llm,PLACE,14.7788614,0.0384507,"Tambao, Markoye, Oudalan, Sahel, Burkina Faso",APPROXIMATE,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,Tambao manganese deposit,4,"The  Essakane  gold  mine  and  Tambão  manganese  deposit  are  situated  approximately 
20km ESE and 40km NNE of the field area, respectively, and similar styles of mineralisation 
may occur in the field area. 1.2 Location and physiography 
The KEMB is located in the northeast of Burkina Faso, approximately 275km to the northeast 
of Ouagadougou and east of the town of Gorom Gorom (Fig. 1.1a & 1.1b). 3",llm,PLACE,14.7788614,0.0384507,"Tambao, Markoye, Oudalan, Sahel, Burkina Faso",APPROXIMATE,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,Tin Taradat granodiorite-tonalite,47,"Considering the KEMB and related 
pressure-temperature  conditions,  would  it  have  been  possible  to  produce  a  migmatite? The 
migmatite  is  situated  between  the  greenschist  and  amphibolite  facies. Here  temperatures 
would have been in excess of 450 ⁰C (c.f., Vernon and Clarke, 2008). The influx of fluids at 
these  temperatures  would  not  have  been  sufficient  to  induce  melting. However  there  is  the 
presence  of  several  large  plutons  in  the  surrounding  area  which  include  the  Tin  Taradat 
granodiorite-tonalite,  Dori  batholith  and  the  Granite  Adamelite  (Tshibubudze  and  Hein, 
submitted). These  could  have  been  the  source  of  high  temperature  igneous  related  fluids 
which would have infiltrated the surrounding rocks.",llm,PLACE,,,no-geocode-result,no-geocode-result,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,WAC,49,"The intrusion of the diorite pluton. There are several granodiorite plutons that occur in 
the  surrounding  area  (Tshibubudze  and  Hein,  submitted). The  most  likely  source  of 
the pluton in KEMB could be a  younger batholith related diorite intrusions south of 
the town of Gorom Gorom. 7. The  formation  of  the  ferricrete  horizons  followed  by  the  tertiary  sands. Ferricrete 
horizons  in  the  WAC  formed  during  the  Cretaceous  and  associated  with  the 
development of in situ laterite (Brown et al., 1994; Burke and Gunnell, 2008).",llm,PLACE,22.2775843,114.1728604,"Wan Chai, Hennessy Road, Wan Chai South, Wan Chai, Wan Chai District, Hong Kong Island, Hong Kong, China",APPROXIMATE,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,West African Craton,8,"2. Geology setting 
2.1 Regional geology and tectonics 
The West African Craton is composed of Palaeoproterozoic rocks of the Birimian Supergroup 
(Feybesse et  al.,  2006; Hein,  2010) and Tarkwa Group (Davis  et  al.,  1994)  as  well as  calc-
alkaline plutons which include tonalite-trondjhemite-granodiorite and diorite intrusions which 
intrude the Palaeoproterozoic stratigraphy (Pons et al., 1995; Naba et al., 2004 Hein, 2010). The Birimian Supergroup is dominated by metamorphosed sedimentary, volcano-sedimentary 
and  volcanic  sequences. The  meta-volcanic  sequences  in  the  Goren  greenstone  belt  and 
Boromo greenstone belt are at dated at 2238 ± 5 Ma and 2171 ± 7 Ma respectively (Castaing 
et  al.,  2003)  based  on  Pb-Pb  zircon  dating  from  rhyolites  within  the  belts. The 
metasedimentary  rocks  of  the  Birimian  Supergroup  comprise  mainly  metamorphosed 
volcaniclastics,  greywacke,  siltstone,  shale,  chemical  sediments  and  chert. The  younger 
Tarkwa  Group,  dated  at  2194–2132  Ma  from  U-Pb  detrital  zircons  (Davis  et  al.,  1994), 
comprises  clastic  sedimentary  rocks  derived  from  erosion  of  the  Birimian  Supergroup  of 
which it overlies unconformably (Hirdes et al., 1992 and Davis et al., 1994).","llm,rules",GEOLOGICAL_UNIT,,,no-geocode-result,no-geocode-result,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,east of the KEMB,4,"(2003) and the area has been shown to comprise basalt, rhyolite and tuffaceous 
material  with  evidence  of  possible  gold  mineralisation. Apart  from  Castaing  et  al. (2003) 
nothing  further  has  been  described  for  the  area  indicating  the  importance  of  this  study. Studies  in  the  surrounding  area  of  the  Oudalan-Gorouol  Greenstone  Belt  (just  east  of  the 
KEMB) by Nikiema et al. (1993), Pons et al. (1995), Debat et al.",llm,APPROXIMATE,,,no-geocode-result,no-geocode-result,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,east of the Markoye shear,42,"Therefore  the  sequences  described  may 
represent a portion of the Oudalan-Gorouol greenstone belt and this would also be enforced 
by the KEMB close proximity to the belt, to east of the Markoye shear zone, 
41",llm,APPROXIMATE,,,no-geocode-result,no-geocode-result,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,east of the field,4,"1. Introduction 
1.1 Preamble 
The  Kel  Enguef  metamorphic  belt  (KEMB)  is  located  in  the  low  hills  southeast  of  Gorom 
Gorom, in the northeast of Burkina Faso. It is named after the village of Kel Enguef which is 
situated  in  the  east  of  the  field  area. During  field  reconnaissance  in  2010,  the  KEMB  was 
found by the Wits research team where it presented an anomaly on the regional topographical 
and geological maps. The KEMB has not been researched in detail, thus how it fits in with 
the  surrounding  area  is  unknown. The  general  region  of  the  KEMB  has  been  mapped  by 
Castaing et al.",llm,APPROXIMATE,40.7156923,-73.5753478,"The Meadows At Mitchell Field, East Meadow, Town of Hempstead, Nassau County, New York, United States",APPROXIMATE,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,east of the town of Gorom Gorom,4,"The  Essakane  gold  mine  and  Tambão  manganese  deposit  are  situated  approximately 
20km ESE and 40km NNE of the field area, respectively, and similar styles of mineralisation 
may occur in the field area. 1.2 Location and physiography 
The KEMB is located in the northeast of Burkina Faso, approximately 275km to the northeast 
of Ouagadougou and east of the town of Gorom Gorom (Fig. 1.1a & 1.1b). 3",llm,APPROXIMATE,,,no-geocode-result,no-geocode-result,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,low hills southeast of Gorom Gorom,4,"1. Introduction 
1.1 Preamble 
The  Kel  Enguef  metamorphic  belt  (KEMB)  is  located  in  the  low  hills  southeast  of  Gorom 
Gorom, in the northeast of Burkina Faso. It is named after the village of Kel Enguef which is 
situated  in  the  east  of  the  field  area. During  field  reconnaissance  in  2010,  the  KEMB  was 
found by the Wits research team where it presented an anomaly on the regional topographical 
and geological maps. The KEMB has not been researched in detail, thus how it fits in with 
the  surrounding  area  is  unknown. The  general  region  of  the  KEMB  has  been  mapped  by 
Castaing et al.",llm,PLACE,14.4445805,-0.2345411,"Gorom-Gorom, Oudalan, Sahel, Burkina Faso",APPROXIMATE,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,northeast of Burkina Faso,4,"1. Introduction 
1.1 Preamble 
The  Kel  Enguef  metamorphic  belt  (KEMB)  is  located  in  the  low  hills  southeast  of  Gorom 
Gorom, in the northeast of Burkina Faso. It is named after the village of Kel Enguef which is 
situated  in  the  east  of  the  field  area. During  field  reconnaissance  in  2010,  the  KEMB  was 
found by the Wits research team where it presented an anomaly on the regional topographical 
and geological maps. The KEMB has not been researched in detail, thus how it fits in with 
the  surrounding  area  is  unknown. The  general  region  of  the  KEMB  has  been  mapped  by 
Castaing et al. || The  Essakane  gold  mine  and  Tambão  manganese  deposit  are  situated  approximately 
20km ESE and 40km NNE of the field area, respectively, and similar styles of mineralisation 
may occur in the field area. 1.2 Location and physiography 
The KEMB is located in the northeast of Burkina Faso, approximately 275km to the northeast 
of Ouagadougou and east of the town of Gorom Gorom (Fig. 1.1a & 1.1b). 3",llm,PLACE,12.0753083,-1.6880314,Burkina Faso,APPROXIMATE,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,northern margin of the Dori Batholith,46,"The  closest  occurring  migmatite  in  the  surrounding  area  is  situated  approximately  20  km 
away on the northern margin of the Dori Batholith and is interpreted as the product of aureole 
deformation  during  the  emplacement  of  the  batholith  (Tshibubudze  and  Hein,  submitted). However aureole deformation is not indicated in the KEMB as there is no intrusion in contact 
with the migmatite. Figure 7.4: Diagram indicating the melting temperature of wet granite (David 
Magrass and Brian Wells, 2010) 
45",llm,GEOLOGICAL_UNIT,,,no-geocode-result,no-geocode-result,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,south of the town of Gorom Gorom,49,"The intrusion of the diorite pluton. There are several granodiorite plutons that occur in 
the  surrounding  area  (Tshibubudze  and  Hein,  submitted). The  most  likely  source  of 
the pluton in KEMB could be a  younger batholith related diorite intrusions south of 
the town of Gorom Gorom. 7. The  formation  of  the  ferricrete  horizons  followed  by  the  tertiary  sands. Ferricrete 
horizons  in  the  WAC  formed  during  the  Cretaceous  and  associated  with  the 
development of in situ laterite (Brown et al., 1994; Burke and Gunnell, 2008).",llm,APPROXIMATE,,,no-geocode-result,no-geocode-result,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,village of Kel Enguef,"4,6","1. Introduction 
1.1 Preamble 
The  Kel  Enguef  metamorphic  belt  (KEMB)  is  located  in  the  low  hills  southeast  of  Gorom 
Gorom, in the northeast of Burkina Faso. It is named after the village of Kel Enguef which is 
situated  in  the  east  of  the  field  area. During  field  reconnaissance  in  2010,  the  KEMB  was 
found by the Wits research team where it presented an anomaly on the regional topographical 
and geological maps. The KEMB has not been researched in detail, thus how it fits in with 
the  surrounding  area  is  unknown. The  general  region  of  the  KEMB  has  been  mapped  by 
Castaing et al. || River  channels  trend  east  towards  a  major 
river that is located on the eastern limits of the field area. The majority of the land between 
the ridges is covered by millet fields where the underlying rock is covered by a layer of sand. Huts  are  scatted  across  the  farm  land  with  the  village  of  Kel  Enguef  situated  to  the  east 
between  the  two  ridges  of  the  field  area  (Fig. 1.1b). Dirt  roads  are  present  connecting  the 
village of Kel Enguef to the main road off to the west of the field area. Access into the field 
was either from this main road or from the north off a main road that connects Gorom Gorom 
to the village of Markoye (Fig.",llm,PLACE,14.6610476,0.8014577,"Kel Enguef, Téra, Tillabéri Region, Niger",APPROXIMATE,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,village of Markoye,6,"River  channels  trend  east  towards  a  major 
river that is located on the eastern limits of the field area. The majority of the land between 
the ridges is covered by millet fields where the underlying rock is covered by a layer of sand. Huts  are  scatted  across  the  farm  land  with  the  village  of  Kel  Enguef  situated  to  the  east 
between  the  two  ridges  of  the  field  area  (Fig. 1.1b). Dirt  roads  are  present  connecting  the 
village of Kel Enguef to the main road off to the west of the field area. Access into the field 
was either from this main road or from the north off a main road that connects Gorom Gorom 
to the village of Markoye (Fig.",llm,PLACE,14.7095001,0.0948661,"Markoye, Oudalan, Sahel, Burkina Faso",APPROXIMATE,
