file,source_group,correct,incorrect,skip,labeled,all_rows,accuracy,accuracy_including_skip
2007_tshibubudze_themarkoyefault_2007_merged_final_review.csv,llm,41,6,0,47,47,0.8723404255319149,0.8723404255319149
2007_tshibubudze_themarkoyefault_2007_merged_final_review.csv,"llm,rules",14,0,0,14,14,1.0,1.0
2007_tshibubudze_themarkoyefault_2007_merged_final_review.csv,rules,7,8,0,15,15,0.4666666666666667,0.4666666666666667
2010_matsheka_irvinfinalthesis_merged_final_review.csv,llm,37,7,0,44,44,0.8409090909090909,0.8409090909090909
2010_matsheka_irvinfinalthesis_merged_final_review.csv,"llm,rules",6,1,0,7,7,0.8571428571428571,0.8571428571428571
2010_matsheka_irvinfinalthesis_merged_final_review.csv,rules,12,10,0,22,22,0.5454545454545454,0.5454545454545454
2011_woolfe_thestratigraphyandmetamorphicfaciesofthekemb_merged_final_review.csv,llm,21,4,0,25,25,0.84,0.84
2011_woolfe_thestratigraphyandmetamorphicfaciesofthekemb_merged_final_review.csv,"llm,rules",2,0,0,2,2,1.0,1.0
2011_woolfe_thestratigraphyandmetamorphicfaciesofthekemb_merged_final_review.csv,rules,7,10,0,17,17,0.4117647058823529,0.4117647058823529
"2012_simoko_petrology,geochemistryandstructureofthepissilabatholithandthesaabazonegneiss_merged_final_review.csv",llm,13,0,0,13,13,1.0,1.0
"2012_simoko_petrology,geochemistryandstructureofthepissilabatholithandthesaabazonegneiss_merged_final_review.csv","llm,rules",5,0,0,5,5,1.0,1.0
"2012_simoko_petrology,geochemistryandstructureofthepissilabatholithandthesaabazonegneiss_merged_final_review.csv",rules,8,8,0,16,16,0.5,0.5
2013_ramabulana_sadiolahillpetrology_merged_final_review.csv,llm,30,7,0,37,37,0.8108108108108109,0.8108108108108109
2013_ramabulana_sadiolahillpetrology_merged_final_review.csv,"llm,rules",12,0,0,12,12,1.0,1.0
2013_ramabulana_sadiolahillpetrology_merged_final_review.csv,rules,8,13,0,21,21,0.38095238095238093,0.38095238095238093
